Excerpt_ID	Technique	Artist	Album	Album_Popularity	Song	Year	Stream_Count	Track_Popularity	Duration	Timecode	Excerpt_duration_ms	Lyrics	Rhythmic_representation	Melodic_representation	Time_signature	Tempo_(approx.)	Spectral_Centroid	Spotify_URL	MP3_Path	Date_collected
EXCE-056	Clean	Avenged Sevenfold	The Stage	49	Higher	2016	13066347	37	6:28	5:32-5:36	3937.91	"""Meet you in the stars tonight"""	4 8 4. 4 4 8 4.	G A B- G f e- e-	4/4	135	2859.483675	https://open.spotify.com/track/1Zsbwp2D3RUm1gqO5zDEQ6?si=7ee39f033e37425c	excerpts_audio/EXCE-056.mp3	19/3/2025
EXCE-057	Clean	Avenged Sevenfold	The Stage	49	Femi Paradox	2016	11116434	37	6:30	2:55-3:00	4659.89	"""Heaven works on borrowed time"""	4 8 4 4 4 4 4	A A A A B c e	4/4	150	3564.729421	https://open.spotify.com/track/1rTug7mBtZg0rvG94JJaZj?si=648beacb611a4dc0	excerpts_audio/EXCE-057.mp3	19/3/2025
EXCE-058	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	51	Breaking Their Hold	2002	2424674	36	1:11	0:41-0:44	2654.58	"""To keep you down behind your back"""	8 8 8 2 8r 8 8 8 2	Contour: medium medium medium high medium medium medium high 	4/4	190	2709.328903	https://open.spotify.com/track/5MyoidtsejjnjTcwXPXBlo?si=a90f8653fbda4368	excerpts_audio/EXCE-058.mp3	19/3/2025
EXCE-059	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	51	Forgotten Faces	2002	2703045	36	3:26	1:13-1:17	4679.82	"""Ninety percent, nothing was done"""	4. 4 4 4 8r 2r. 4. 4 4 4	Contour: high high medium high medium high medium medium	4/4	190	3207.892257	https://open.spotify.com/track/4ZnhD57uwrP2935k2ziLvi?si=dba085a10a9249bb	excerpts_audio/EXCE-059.mp3	19/3/2025
EXCE-060	Screaming	Avenged Sevenfold	Sounding The Seventh Trumpet	51	Thin and Thin	2002	2904834	36	4:15	1:31-1:33	2321.16	"""I'll be there for you"""	8 4 4 8r 4 2	Contour: high high high medium high	4/4	200	3180.629735	https://open.spotify.com/track/5ZOPIDzkfKfLHnqXvOmVlf?si=96d90599cd6a4eaf	excerpts_audio/EXCE-060.mp3	19/3/2025
EXCE-061	Clean	Avenged Sevenfold	Life Is But a Dream?	58	Easier	2023	5269400	45	3:37	1:05-1:10	6829.64	"""Bound to the flesh 'till the day I die"""	4 4 4 2 4 4 2 4 4 2.	A- A- A- A- E- A c c c B	4/4	150	3123.368157	https://open.spotify.com/track/6qXVuEYcL6M4Yc1zyY5F8D?si=e8196adc30844c6e	excerpts_audio/EXCE-061.mp3	19/3/2025
EXCE-062	Clean	Avenged Sevenfold	Life Is But a Dream?	58	G	2023	5865159	46	3:37	1:15-1:18	3003.92	"""Thought about a name that came to me"""	8 8 8 8 4 8 4 4 4	e e e e f# f# g g f#	4/4	150	3315.157537	https://open.spotify.com/track/3hpB5SlyESKXrmc6NUNQhd?si=ee0aa92aac0a4a67	excerpts_audio/EXCE-062.mp3	19/3/2025
EXCE-063	Clean	Avenged Sevenfold	Life Is But a Dream?	58	(D)eath	2023	5861377	47	3:19	0:53-0:58	5379.48	"""And leave it on the fireplace"""	8q 4. 4. 8 8 4 8 4.	G e d c B B E G	4/4	133	2306.32719	https://open.spotify.com/track/1CuHu4a51IOR4LXjB5jObB?si=9843176fe56c48b5	excerpts_audio/EXCE-063.mp3	19/3/2025
EXCE-064	Screaming	Architects	Nightmares	24	A Portrait for the Deceased	2006	196966	18	4:23	2:27-2:30	3062.74	"""Then come and drown with me"""	4 4 4 4 4 2	Contour: high high high high high high	4/4	161	3017.859704	https://open.spotify.com/track/5PduwkX8b8xBnysdh1VOIt?si=f37cf8f583944457	excerpts_audio/EXCE-064.mp3	19/3/2025
EXCE-065	Screaming	Architects	Nightmares	24	The Darkest Tomb	2006	259292	18	3:42	1:26-1:30	3785.17	"""I know you won't miss"""	4r 4 4 8 4 4.	Contour: high high high high high	7/4	160	2771.036407	https://open.spotify.com/track/69J5plrJXVtwAqYEY1eBfc?si=ae579f05c31f44e9	excerpts_audio/EXCE-065.mp3	19/3/2025
